ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,AM_Peak_Freq,AM_Offpeak_Freq,PM_Peak_Freq,PM_Offpeak_Freq,LoopDesc
382,GAS,2,FEEDER,65009,65009,8,8-10,8-10,8-12,Sumang Walk
382A,GAS,1,FEEDER,65009,65531,-,-,-,24-24,
382G,GAS,1,FEEDER,65009,65009,8-08,8-10,8-10,8-12,Sumang Walk
382W,GAS,1,FEEDER,65009,65009,08-08,08-10,08-10,08-12,Sumang Walk
384,GAS,1,FEEDER,65009,65009,15-15,15-15,15-15,15-20,Northshore Dr
386,GAS,1,FEEDER,65009,65009,07-08,10-15,07-10,07-15,Punggol Ctrl
386A,GAS,1,FEEDER,65009,65371,-,-,22-40,25-30,
3A,GAS,1,TRUNK,75009,77331,-,68-68,-,12-12,
403,GAS,1,TRUNK,77009,77009,13-13,13-19,14-19,14-25,Pasir Ris Rd
43,GAS,1,TRUNK,65009,94009,09-10,13-16,13-15,15-16,
43,GAS,2,TRUNK,94009,65009,10-15,14-17,10-11,13-18,
43e,GAS,1,EXPRESS,65009,92051,15-20,20-20,-,-,
43e,GAS,2,EXPRESS,92059,65009,-,-,15-20,20-20,
43M,GAS,1,TRUNK,65009,65009,09-10,10-18,10-12,15-16,S'goon Ctrl
518,GAS,1,EXPRESS,77009,77009,10-20,15-20,15-20,13-20,Bayfront Ave
